fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
302,3326019.00000,3002170001,4347.57152,34048.60432,0.12769,1967.00000,734340.00000,294.40279,2100,73.00000,Good,,1,0,0,classification,75 HENRY STREET,BK,P,R8,,0,-73.99219,40.69840
303,1088207.00000,1005440065,126.24381,6897.07352,0.01830,2009.00000,1110521.00000,177.81954,2100,42.00000,Good,,0,1,0,greenroofs.com,2 COOPER SQUARE,MN,,M1-5B,,0,-73.99174,40.72744
304,3071908.00000,3031510012,2084.55712,23800.59204,0.08758,2004.00000,985092.00000,60.76000,2100,69.00000,Good,,0,1,0,Visual - pre-classification,533 BUSHWICK AVENUE,BK,P,R7-2,,0,-73.93511,40.69928
305,3393008.00000,3002457501,2441.35726,127092.16792,0.01921,1928.00000,188951.00000,191.41000,2100,9.00000,Good,,1,0,0,classification,360 FURMAN STREET,BK,,M2-1,,0,-74.00009,40.69312
306,1087716.00000,1001427502,2467.51012,24653.00263,0.10009,2005.00000,996369.00000,300.85306,2100,9.00000,Good,,1,0,0,classification,200 CHAMBERS STREET,MN,,C6-4,,0,-74.01216,40.71663
307,1007725.00000,1005020004,263.71475,8061.98489,0.03271,1900.00000,616680.00000,94.11000,2100,15.00000,Good,,1,0,0,classification,94 THOMPSON STREET,MN,P,M1-5A,,0,-74.00170,40.72510
308,3033763.00000,3012860077,307.56825,2010.41738,0.15299,1920.00000,15757.00000,29.51000,2100,104.00000,Good,,1,0,0,classification,1381 CARROLL STREET,BK,,R4,,0,-73.94190,40.66703
309,1087575.00000,1001870016,2843.82213,8882.81982,0.32015,2005.00000,996320.00000,117.35810,2100,14.00000,Good,,1,0,0,classification,377 GREENWICH STREET,MN,,C6-2A,TMU,0,-74.00993,40.71987
310,1084164.00000,1020520001,1372.09868,17787.10278,0.07714,1937.00000,541487.00000,25.93000,2100,25.00000,Good,,1,1,0,DPR/DEP,319 WEST 145 STREET,MN,C,PARK,,0,-73.94245,40.82429
311,1046261.00000,1014847501,1315.28449,27154.23458,0.04844,1985.00000,438754.00000,403.32000,2100,33.00000,Good,,1,0,0,classification,515 EAST 72 STREET,MN,,R10,,0,-73.95236,40.76685
312,1076314.00000,1014477501,1538.32515,9437.80477,0.16300,1961.00000,471228.00000,161.80000,2100,44.00000,Good,,1,0,0,classification,305 EAST 72 STREET,MN,P,C1-9,TA,0,-73.95793,40.76896
313,3397206.00000,3010030038,80.88869,4862.10044,0.01664,2013.00000,1260374.00000,120.00000,2100,31.00000,Good,,0,1,0,Visual - pre-classification,438 4 AVENUE,BK,P,R8A,EC-1,0,-73.98883,40.67101
314,1011758.00000,1006310042,930.19753,2821.72172,0.32966,1910.00000,251405.00000,55.15000,2100,21.00000,Good,,1,0,0,classification,527 HUDSON STREET,MN,,C1-6,,0,-74.00650,40.73414
315,1014523.00000,1007907503,752.34357,1731.05055,0.43462,1920.00000,823073.00000,91.54712,2100,31.00000,Good,,1,0,0,classification,133 WEST 14 STREET,MN,,C6-2A,,0,-73.99823,40.73821
316,1088864.00000,1006077502,565.93732,7247.48330,0.07809,1941.00000,18254.00000,140.19000,2100,22.00000,Good,,1,0,0,classification,130 WEST 12 STREET,MN,,R6,,0,-73.99893,40.73635
317,1004599.00000,1003850038,643.44403,2633.15979,0.24436,1900.00000,345074.00000,68.30000,2100,16.00000,Good,,1,0,0,classification,21 AVENUE C,MN,P,R7A,,0,-73.98114,40.72137
318,1009464.00000,1005730018,76.35386,1366.86803,0.05586,1899.00000,755570.00000,45.73000,2100,22.00000,Good,,1,0,0,classification,48 WEST 10 STREET,MN,P,R6,,0,-73.99770,40.73412
319,1087238.00000,1000167514,1912.94730,14670.88390,0.13039,2006.00000,996223.00000,378.55122,2100,10.00000,Good,,1,1,0,Visual - pre-classification,30 LITTLE WEST STREET,MN,X,BPC,BPC,0,-74.01719,40.70619
320,3063701.00000,3024820026,4412.56418,35714.24831,0.12355,2013.00000,783895.00000,15.99000,2100,15.00000,Good,,1,0,0,classification,1133 MANHATTAN AVENUE,BK,,M1-2/R6A,MX-8,0,-73.95593,40.73695
321,1085971.00000,1011670033,407.04228,9573.38211,0.04252,2000.00000,616483.00000,164.43000,2100,78.00000,Good,,1,0,0,classification,332 AMSTERDAM AVENUE,MN,,C2-7A,EC-2,0,-73.98024,40.78117
322,1084594.00000,1000160010,2813.42698,34017.36246,0.08271,1997.00000,935570.00000,83.63055,2100,11.00000,Good,,1,0,0,classification,18 1 PLACE,MN,X,BPC,BPC,0,-74.01878,40.70594
323,1083193.00000,1006080017,10.10431,950.39223,0.01063,1920.00000,226440.00000,55.27000,2100,27.00000,Good,,0,1,0,greenroofs.com,144 WEST 13 STREET,MN,X,R6,,0,-73.99938,40.73740
324,4534604.00000,4000210060,10549.86026,55894.94392,0.18874,2007.00000,1107186.00000,319.59535,2100,11.00000,Good,,1,0,0,classification,47-05 CENTER BOULEVARD,QN,X,M3-1,,0,-73.95619,40.74564
325,1082901.00000,1016240033,1026.35915,14762.42444,0.06953,1990.00000,848261.00000,282.38722,2100,46.00000,Good,at least some green roof,1,0,0,classification,1710 3 AVENUE,MN,P,R10,,0,-73.94963,40.78560
326,1015500.00000,1008220039,1936.98250,12208.96014,0.15865,1900.00000,218210.00000,138.60000,2100,42.00000,Good,,1,1,0,Visual - pre-classification,160 5 AVENUE,MN,,C6-4M,,0,-73.99102,40.74032
327,3115233.00000,3050360012,651.00322,1096.42068,0.59375,1910.00000,548338.00000,25.45000,2100,61.00000,Good,,1,1,0,Visual - pre-classification,232 MIDWOOD STREET,BK,,R6,,0,-73.95289,40.65977
328,1059019.00000,1019430027,384.87483,1342.14281,0.28676,1920.00000,741043.00000,60.51577,2100,34.00000,Good,,1,0,0,classification,307 WEST 116 STREET,MN,P,R7A,,0,-73.95583,40.80485
